tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table1a,2022,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11259,ABQ,DAL,580,213,172.67,WN,1.0000,172.67,WN,1.0000,172.67,,,202211014011259ABQDAL
Table1a,2022,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11298,ABQ,DFW,580,251,183.70,AA,0.9885,183.37,AA,0.9885,183.37,,,202211014011298ABQDFW
Table1a,2022,1,30140,30466,"Albuquerque, NM","Phoenix, AZ",10140,14107,ABQ,PHX,328,481,165.33,WN,0.7070,164.17,WN,0.7070,164.17,,,202211014014107ABQPHX
Table1a,2022,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,10821,ABQ,BWI,1670,108,218.39,WN,0.5798,214.66,DL,0.2049,211.95,,,202211014010821ABQBWI
Table1a,2022,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,11278,ABQ,DCA,1670,114,293.40,AA,0.3751,304.32,WN,0.3469,267.69,,,202211014011278ABQDCA
Table1a,2022,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,12264,ABQ,IAD,1670,38,339.82,UA,0.4566,390.85,WN,0.1994,257.93,,,202211014012264ABQIAD
Table1a,2022,1,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13232,ABQ,MDW,1121,76,212.33,WN,0.9941,212.51,WN,0.9941,212.51,,,202211014013232ABQMDW
Table1a,2022,1,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13930,ABQ,ORD,1121,139,243.66,AA,0.5441,239.45,AA,0.5441,239.45,,,202211014013930ABQORD
Table1a,2022,1,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,ABQ,HOU,759,147,206.69,WN,0.9751,204.68,WN,0.9751,204.68,,,202211014012191ABQHOU
Table1a,2022,1,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,ABQ,IAH,759,140,234.68,UA,0.8568,232.95,UA,0.8568,232.95,,,202211014012266ABQIAH
Table1a,2022,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,ABQ,EWR,1861,56,267.11,AA,0.3564,245.28,AA,0.3564,245.28,,,202211014011618ABQEWR
Table1a,2022,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12197,ABQ,HPN,1861,5,247.85,DL,0.8780,249.19,UA,0.0976,228.75,,,202211014012197ABQHPN
Table1a,2022,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,ABQ,ISP,1861,2,297.50,WN,0.5714,283.25,WN,0.5714,283.25,,,202211014012391ABQISP
Table1a,2022,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12478,ABQ,JFK,1861,128,195.28,B6,0.8494,183.77,B6,0.8494,183.77,,,202211014012478ABQJFK
Table1a,2022,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12953,ABQ,LGA,1861,102,232.75,AA,0.4576,231.97,WN,0.2511,188.39,,,202211014012953ABQLGA
Table1a,2022,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,13796,ABQ,OAK,896,114,193.48,WN,0.9443,190.92,WN,0.9443,190.92,,,202211014013796ABQOAK
Table1a,2022,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14771,ABQ,SFO,896,160,210.99,UA,0.7262,206.92,WN,0.1445,201.89,,,202211014014771ABQSFO
Table1a,2022,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14831,ABQ,SJC,896,60,200.28,WN,0.7342,191.62,WN,0.7342,191.62,,,202211014014831ABQSJC
Table1a,2022,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,10800,ABQ,BUR,677,89,161.62,WN,0.9526,157.52,WN,0.9526,157.52,,,202211014010800ABQBUR
Table1a,2022,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12892,ABQ,LAX,677,479,161.36,DL,0.3670,174.54,WN,0.3227,140.44,,,202211014012892ABQLAX
Table1a,2022,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12954,ABQ,LGB,677,19,162.93,WN,0.8512,157.45,WN,0.8512,157.45,,,202211014012954ABQLGB
Table1a,2022,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,13891,ABQ,ONT,677,49,201.05,WN,0.6957,190.94,WN,0.6957,190.94,,,202211014013891ABQONT
Table1a,2022,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,14908,ABQ,SNA,677,57,205.02,WN,0.6342,191.59,WN,0.6342,191.59,,,202211014014908ABQSNA
Table1a,2022,1,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,11697,ACY,FLL,998,150,105.04,NK,1.0000,105.04,NK,1.0000,105.04,,,202211015811697ACYFLL
Table1a,2022,1,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,13303,ACY,MIA,998,56,99.73,NK,1.0000,99.73,NK,1.0000,99.73,,,202211015813303ACYMIA
Table1a,2022,1,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11259,COS,DAL,602,167,141.18,WN,1.0000,141.18,WN,1.0000,141.18,,,202211110911259COSDAL
Table1a,2022,1,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11298,COS,DFW,602,167,191.15,AA,0.9681,192.07,UA,0.0279,169.21,,,202211110911298COSDFW
Table1a,2022,1,30189,30466,"Colorado Springs, CO","Phoenix, AZ",11109,14107,COS,PHX,551,428,128.75,WN,0.8227,130.13,F9,0.1436,98.02,,,202211110914107COSPHX
Table1a,2022,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,10800,COS,BUR,833,21,197.15,WN,0.8172,181.93,F9,0.0108,80.00,,,202211110910800COSBUR
Table1a,2022,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12892,COS,LAX,833,94,217.58,UA,0.6967,222.66,WN,0.1967,171.03,,,202211110912892COSLAX
Table1a,2022,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12954,COS,LGB,833,23,120.33,WN,0.8762,113.35,WN,0.8762,113.35,,,202211110912954COSLGB
Table1a,2022,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,13891,COS,ONT,833,40,150.10,WN,0.7119,146.84,WN,0.7119,146.84,,,202211110913891COSONT
Table1a,2022,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,14908,COS,SNA,833,47,191.58,WN,0.6393,175.22,WN,0.6393,175.22,,,202211110914908COSSNA
Table1a,2022,1,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11259,14122,DAL,PIT,1067,66,211.16,WN,0.9482,211.56,DL,0.0468,211.04,,,202211125914122DALPIT
Table1a,2022,1,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11298,14122,DFW,PIT,1067,335,245.77,AA,0.9278,247.05,UA,0.0235,216.16,,,202211129814122DFWPIT
Table1a,2022,1,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11259,11292,DAL,DEN,651,971,161.10,WN,0.9981,161.11,WN,0.9981,161.11,,,202211125911292DALDEN
Table1a,2022,1,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11298,11292,DFW,DEN,651,1759,169.69,AA,0.5979,186.72,F9,0.1745,96.33,,,202211129811292DFWDEN
Table1a,2022,1,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11259,15376,DAL,TUS,824,17,222.54,WN,0.9935,222.38,WN,0.9935,222.38,,,202211125915376DALTUS
Table1a,2022,1,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11298,15376,DFW,TUS,824,202,278.06,AA,0.9676,277.92,UA,0.0198,252.61,,,202211129815376DFWTUS
Table1a,2022,1,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",11259,14107,DAL,PHX,879,944,190.51,WN,0.9981,190.56,WN,0.9981,190.56,,,202211125914107DALPHX
Table1a,2022,1,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",11298,14107,DFW,PHX,879,1308,239.94,AA,0.8023,267.85,NK,0.1029,110.80,,,202211129814107DFWPHX
Table1a,2022,1,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",11259,10529,DAL,BDL,1471,20,255.21,WN,0.7921,248.57,WN,0.7921,248.57,,,202211125910529DALBDL
Table1a,2022,1,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",11298,10529,DFW,BDL,1471,166,271.89,AA,0.8794,276.96,NK,0.0107,134.38,,,202211129810529DFWBDL
Table1a,2022,1,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",11259,14747,DAL,SEA,1670,205,212.04,AS,0.7362,205.62,AS,0.7362,205.62,,,202211125914747DALSEA
Table1a,2022,1,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",11298,14747,DFW,SEA,1670,961,239.02,AS,0.4658,222.92,AS,0.4658,222.92,,,202211129814747DFWSEA
